PLAYER_NAME,GP,GS,MIN,FG,3P,FT,REB,AST,STL,TO,BLK,PF,PTS,EFF,A.S.G,P.O.M,F.T,S.T,T.T,F.T.D,S.T.D,Seasons,Playoffs,Finals,titles,Retired,H.O.F
Tex Ritter,151,0,--,34.8,--,67.4,1.9,1.0,--,--,--,1.5,5.2,2.5,,,,,,,,3,3,1,0,1.0,0.0
Ramón Rivas,28,0,3.3,38.7,0.0,64.0,0.9,0.1,0.1,0.3,0.0,0.8,1.4,1.3,,,,,,,,1,0,0,0,1.0,0.0
Austin Rivers,630,169,24.2,41.8,34.9,64.7,2.1,2.2,0.7,1.1,0.2,2.1,8.9,7.7,,,,,,,,9,6,0,0,0.0,0.0
David Rivers,114,11,11.3,39.8,8.3,79.4,1.3,2.5,0.5,1.5,0.1,1.0,3.4,4.2,,,,,,,,3,1,1,0,1.0,0.0
Doc Rivers,864,605,27.3,44.4,32.8,78.4,3.0,5.7,1.8,1.9,0.4,3.1,10.9,14.3,1.0,,,,,,,13,10,0,0,1.0,0.0
Lee Robbins,47,0,--,28.4,--,56.4,--,0.4,--,--,--,2.5,4.8,-0.2,,,,,,,,2,0,0,0,1.0,0.0
André Roberson,307,269,22.1,47.3,25.3,46.8,4.0,0.9,0.9,0.6,0.6,2.1,4.5,7.8,,,,,,0.0,1.0,7,4,0,0,0.0,0.0
Anthony Roberson,65,1,9.1,40.0,35.6,90.0,0.8,0.5,0.4,0.4,0.0,0.8,4.1,3.0,,,,,,,,3,1,0,0,0.0,0.0
Rick Roberson,423,0,24.5,44.0,--,58.5,8.3,1.4,0.6,--,0.5,3.1,9.0,13.3,,,,,,,,7,2,1,0,1.0,0.0
Terrance Roberson,3,0,4.3,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.0,1.0,0.0,-0.7,,,,,,,,1,0,0,0,1.0,0.0
